ID,Parent1,Parent2
SD_001,0,0
SD_002,0,0
SD_003,0,0
SD_004,0,0
SD_005,0,0
SD_006,0,0
SD_007,SD_006,0
SD_008,SD_001,0
SD_009,0,0
SD_010,0,0
SD_011,SD_009,SD_010
SD_012,0,0
SD_013,0,0
SD_014,SD_012,SD_013
SD_015,0,0
SD_016,SD_015,SD_004
SD_017,SD_014,SD_016
SD_018,SD_009,SD_010
SD_019,0,0
SD_020,0,0
SD_021,0,0
SD_022,SD_020,SD_021
SD_023,0,0
SD_024,SD_023,SD_019
SD_025,SD_023,SD_019
SD_026,0,0
SD_027,SD_019,SD_026
SD_028,0,0
SD_029,SD_019,SD_028
SD_030,SD_023,SD_026
SD_031,SD_002,SD_015
SD_032,0,0
SD_033,SD_003,SD_032
SD_034,SD_031,SD_033
SD_035,SD_015,0
SD_036,0,0
SD_037,SD_001,0
SD_038,SD_015,SD_032
SD_039,SD_038,SD_019
SD_040,SD_038,SD_023
SD_041,0,0
SD_042,0,0
SD_043,SD_042,0
SD_044,0,0
SD_045,SD_044,SD_023
SD_046,0,0
SD_047,0,0
SD_048,0,0
SD_049,SD_047,SD_048
SD_050,SD_038,SD_049
SD_051,SD_050,SD_017
SD_052,0,0
SD_053,0,0
SD_054,SD_052,SD_053
SD_055,SD_013,SD_012
SD_056,0,0
SD_057,SD_056,SD_053
SD_058,SD_055,SD_057
SD_059,0,0
SD_060,SD_059,SD_026
SD_061,0,0
SD_062,SD_004,SD_061
SD_063,SD_062,SD_031
SD_064,SD_034,SD_063
SD_065,0,0
SD_066,0,0
SD_067,SD_065,SD_066
SD_068,0,0
SD_069,SD_019,SD_068
SD_070,0,0
SD_071,SD_019,SD_028
SD_072,SD_015,0
SD_073,SD_023,SD_068
SD_074,SD_004,SD_012
SD_075,SD_074,SD_026
SD_076,0,0
SD_077,0,0
SD_078,SD_076,SD_077
SD_079,SD_078,SD_011
SD_080,SD_023,SD_028
SD_081,0,0
SD_082,SD_081,0
SD_083,SD_082,SD_026
SD_084,0,0
SD_085,0,0
SD_086,SD_084,SD_085
SD_087,SD_086,SD_026
SD_088,SD_078,SD_018
SD_089,SD_085,0
SD_090,0,0
SD_091,SD_005,SD_090
SD_092,SD_022,SD_091
SD_093,0,0
SD_094,0,0
SD_095,SD_015,SD_094
SD_096,0,0
SD_097,0,0
SD_098,SD_097,SD_068
SD_099,0,0
SD_100,0,0
SD_101,SD_099,SD_100
SD_102,0,0
SD_103,0,0
SD_104,SD_102,SD_103
SD_105,0,0
SD_106,SD_077,SD_105
SD_107,SD_011,SD_106
SD_108,0,0

